user_id,organization_id,username,department,job_title,is_active
1001,1,csmith,Legal,Legal Counsel,true
1002,1,ahall,Legal,Paralegal,true
1003,1,tsmith,IT,IT Support Specialist,true
1004,1,jclark,Engineering,Engineering Manager,true
1005,1,rwright,Customer Support,Technical Support Engineer,true
1006,1,mdavis,Engineering,QA Engineer,true
1007,1,apatel,Human Resources,HR Manager,true
1008,1,tyoung,Operations,Operations Analyst,true
1009,1,alee,Sales,Sales Manager,true
1010,1,cjohnson,Marketing,Demand Generation Manager,true
1011,1,shill,IT,Network Administrator,true
1012,1,cgarcia,Human Resources,Recruiter,true
1013,1,crobinson,Sales,Sales Development Representative,true
1014,1,adavis,Research,Data Scientist,true
1015,1,mkim,Customer Support,Support Manager,true
1016,1,cbrown,Research,Research Engineer,true
1017,1,tthomas,Customer Support,Customer Advocate,true
1018,1,dkim,Legal,Compliance Analyst,true
1019,1,mscott,Sales,Sales Manager,true
1020,1,dharris,Operations,Operations Analyst,true
1021,1,jwalker,Engineering,Engineering Manager,true
1022,1,athomas,Sales,Solutions Consultant,true
1023,1,ahall2,Legal,Compliance Analyst,true
1024,1,mpatel,Finance,Accountant,true
1025,1,hharris,Legal,Paralegal,true
1026,1,elopez,Sales,Sales Development Representative,true
1027,1,sclark,Research,Research Analyst,true
1028,1,tsmith2,IT,Network Administrator,true
1029,1,ekim,IT,Systems Administrator,true
1030,1,tlopez,IT,IT Support Specialist,true
1031,1,sclark2,Engineering,Engineering Manager,true
1032,1,qallen,Finance,Controller,true
1033,1,zjackson,Engineering,Senior Software Engineer,true
1034,1,jlewis,Sales,Sales Development Representative,false
1035,1,mkim2,IT,Systems Administrator,true
1036,1,charris,Engineering,Engineering Manager,true
1037,1,dyoung,Research,Research Manager,true
1038,1,swright,Human Resources,HR Generalist,true
1039,1,manderson,Operations,Facilities Specialist,true
1040,1,mhall,Marketing,Marketing Specialist,true
1041,1,mwright,Customer Support,Technical Support Engineer,true
1042,1,nnguyen,Operations,Operations Manager,true
1043,2,cjackson,Customer Support,Support Specialist,false
1044,2,alee,Research,Data Scientist,true
1045,2,twhite,Engineering,Engineering Manager,true
1046,2,sthomas,IT,IT Manager,true
1047,2,owilson,Operations,Facilities Specialist,true
1048,2,bbrown,Research,Research Analyst,true
1049,2,mjohnson,Sales,Sales Development Representative,false
1050,2,wlee,Customer Support,Support Specialist,true
1051,2,ethomas,IT,IT Support Specialist,true
1052,2,trobinson,IT,Network Administrator,true
1053,2,rhall,Marketing,Content Strategist,true
1054,2,dhall,Marketing,Marketing Manager,true
1055,2,csmith,Operations,Operations Analyst,true
1056,2,rharris,Finance,Controller,true
1057,2,eanderson,Finance,Finance Manager,true
1058,2,erobinson,Research,Research Analyst,true
1059,2,egreen,Marketing,Content Strategist,true
1060,2,ayoung,Sales,Sales Manager,true
1061,2,rallen,Finance,Controller,true
1062,2,hscott,Research,Research Analyst,true
1063,2,mlopez,Finance,Financial Analyst,true
1064,2,dwalker,Research,Data Scientist,true
1065,2,mclark,IT,Systems Administrator,true
1066,2,jclark,IT,Network Administrator,true
1067,2,jmoore,Engineering,QA Engineer,true
1068,2,tscott,Human Resources,Recruiter,true
1069,2,pking,Sales,Solutions Consultant,true
1070,2,jgreen,Research,Data Scientist,true
1071,2,pscott,Human Resources,Recruiter,true
1072,2,mwright,Research,Data Scientist,true
1073,2,athomas,Customer Support,Customer Advocate,true
1074,2,oanderson,Finance,Accountant,true
1075,2,qthomas,Finance,Financial Analyst,true
1076,2,randerson,Marketing,Marketing Manager,true
